-31,9,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-30,9,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-26,14,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-27,14,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-28,14,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-29,14,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-30,14,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-31,14,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-26,13,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-29,9,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-28,13,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-27,13,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-29,13,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-30,13,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-28,9,pOmBMX74cSPt9M4cPnUMyGivUmQ=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-26,12,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-31,13,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-27,9,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-28,12,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-26,9,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-31,10,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-29,12,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-30,12,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-31,12,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-30,10,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
-27,11,IYo27vQIO/nuDdQfRS9nd+8lIr8=,s0ITscGQbO/GmYBgZX/4lpFPWnQ=
